v1	V(n001)	V(n002)	I(D1)	I(R1)	I(V1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-002	1.000000e-002	6.222022e-007	6.222022e-010	6.222022e-010	-6.222022e-010
2.000000000000000e-002	2.000000e-002	1.398011e-006	1.398011e-009	1.398011e-009	-1.398011e-009
3.000000000000000e-002	3.000000e-002	2.365343e-006	2.365343e-009	2.365343e-009	-2.365343e-009
4.000000000000000e-002	4.000000e-002	3.571466e-006	3.571466e-009	3.571466e-009	-3.571466e-009
5.000000000000000e-002	5.000000e-002	5.075311e-006	5.075311e-009	5.075311e-009	-5.075311e-009
6.000000000000001e-002	6.000000e-002	6.950342e-006	6.950342e-009	6.950342e-009	-6.950342e-009
7.000000000000001e-002	7.000000e-002	9.288134e-006	9.288133e-009	9.288133e-009	-9.288133e-009
8.000000000000000e-002	8.000000e-002	1.220283e-005	1.220283e-008	1.220283e-008	-1.220283e-008
9.000000000000000e-002	9.000000e-002	1.583669e-005	1.583669e-008	1.583669e-008	-1.583669e-008
9.999999999999999e-002	1.000000e-001	2.036700e-005	2.036700e-008	2.036700e-008	-2.036700e-008
1.100000000000000e-001	1.100000e-001	2.601466e-005	2.601466e-008	2.601466e-008	-2.601466e-008
1.200000000000000e-001	1.200000e-001	3.305485e-005	3.305485e-008	3.305485e-008	-3.305485e-008
1.300000000000000e-001	1.300000e-001	4.183034e-005	4.183034e-008	4.183034e-008	-4.183034e-008
1.400000000000000e-001	1.400000e-001	5.276789e-005	5.276789e-008	5.276789e-008	-5.276789e-008
1.500000000000000e-001	1.500000e-001	6.639874e-005	6.639874e-008	6.639874e-008	-6.639874e-008
1.600000000000000e-001	1.600000e-001	8.338382e-005	8.338382e-008	8.338382e-008	-8.338382e-008
1.700000000000000e-001	1.700000e-001	1.045450e-004	1.045450e-007	1.045450e-007	-1.045450e-007
1.800000000000000e-001	1.800000e-001	1.309037e-004	1.309037e-007	1.309037e-007	-1.309037e-007
1.900000000000000e-001	1.900000e-001	1.637279e-004	1.637279e-007	1.637279e-007	-1.637279e-007
2.000000000000000e-001	2.000000e-001	2.045907e-004	2.045907e-007	2.045907e-007	-2.045907e-007
2.100000000000001e-001	2.100000e-001	2.554404e-004	2.554404e-007	2.554404e-007	-2.554404e-007
2.200000000000001e-001	2.200000e-001	3.186867e-004	3.186867e-007	3.186867e-007	-3.186867e-007
2.300000000000001e-001	2.300000e-001	3.973040e-004	3.973040e-007	3.973040e-007	-3.973040e-007
2.400000000000001e-001	2.400000e-001	4.949542e-004	4.949542e-007	4.949542e-007	-4.949542e-007
2.500000000000001e-001	2.500000e-001	6.161323e-004	6.161325e-007	6.161324e-007	-6.161325e-007
2.600000000000001e-001	2.600000e-001	7.663351e-004	7.663352e-007	7.663350e-007	-7.663352e-007
2.700000000000001e-001	2.700000e-001	9.522522e-004	9.522524e-007	9.522522e-007	-9.522524e-007
2.800000000000001e-001	2.800000e-001	1.181980e-003	1.181980e-006	1.181980e-006	-1.181980e-006
